Circuit,Date,Year,Pole position,Fastest lap,Winning driver,Winning constructor,Circuit Name,City,Name,Location,Country,Latitude,Longitude,Altitude (m),N. races,Wikipedia,Race date
"Yas Marina Circuit, Abu Dhabi",13 December[l],2020,Max Verstappen,Daniel Ricciardo,Max Verstappen,Red Bull Racing-Honda,Yas Marina Circuit, Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0.0,14.0,Link,
"Bahrain International Circuit, Sakhir",,2021,Max Verstappen,Valtteri Bottas,Lewis Hamilton,Mercedes,Bahrain International Circuit, Sakhir,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,28 March
"Imola Circuit, Imola",,2021,Lewis Hamilton,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Imola Circuit, Imola,,,,,,,,,18 April
"Algarve International Circuit, Portimão",,2021,Valtteri Bottas,Valtteri Bottas,Lewis Hamilton,Mercedes,Algarve International Circuit, Portimão,,,,,,,,,2 May
"Circuit de Barcelona-Catalunya, Montmeló",,2021,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Circuit de Barcelona-Catalunya, Montmeló,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0,32.0,Link,9 May
"Circuit de Monaco, Monte Carlo",,2021,Charles Leclerc[r],Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Circuit de Monaco, Monte Carlo,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0,68.0,Link,23 May
"Baku City Circuit, Baku",,2021,Charles Leclerc,Max Verstappen,Sergio Pérez,Red Bull Racing-Honda,Baku City Circuit, Baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,0.0,6.0,Link,6 June
"Circuit Paul Ricard, Le Castellet",,2021,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Circuit Paul Ricard, Le Castellet,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,0.0,18.0,Link,20 June[f]
"Red Bull Ring, Spielberg",,2021,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,27 June
"Red Bull Ring, Spielberg",,2021,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,4 July
"Silverstone Circuit, Silverstone",,2021,Max Verstappen,Sergio Pérez,Lewis Hamilton,Mercedes,Silverstone Circuit, Silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0,57.0,Link,18 July
"Hungaroring, Mogyoród",,2021,Lewis Hamilton,Pierre Gasly,Esteban Ocon,Alpine-Renault,Hungaroring, Mogyoród,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0,37.0,Link,1 August
"Circuit de Spa-Francorchamps, Stavelot",,2021,Max Verstappen,None recognised[275],Max Verstappen,Red Bull Racing-Honda,Circuit de Spa-Francorchamps, Stavelot,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0,55.0,Link,29 August
"Circuit Zandvoort, Zandvoort",,2021,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Circuit Zandvoort, Zandvoort,,,,,,,,,5 September
"Monza Circuit, Monza",,2021,Max Verstappen[s],Daniel Ricciardo,Daniel Ricciardo,McLaren-Mercedes,Monza Circuit, Monza,,,,,,,,,12 September
"Sochi Autodrom, Sochi",,2021,Lando Norris,Lando Norris,Lewis Hamilton,Mercedes,Sochi Autodrom, Sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0.0,8.0,Link,26 September
"Istanbul Park, Tuzla",,2021,Valtteri Bottas[t],Valtteri Bottas,Valtteri Bottas,Mercedes,Istanbul Park, Tuzla,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0,9.0,Link,10 October[g]
"Circuit of the Americas, Austin, Texas",,2021,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Circuit of the Americas, Austin,Circuit of the Americas,Austin,USA,30.1328,-97.6411,0.0,10.0,Link,24 October
"Autódromo Hermanos Rodríguez, Mexico City",,2021,Valtteri Bottas,Valtteri Bottas,Max Verstappen,Red Bull Racing-Honda,Autódromo Hermanos Rodríguez, Mexico City,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,0.0,22.0,Link,7 November[h]
"Interlagos Circuit, São Paulo",,2021,Valtteri Bottas,Sergio Pérez,Lewis Hamilton,Mercedes,Interlagos Circuit, São Paulo,,,,,,,,,14 November[i]
"Losail International Circuit, Lusail",,2021,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Losail International Circuit, Lusail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,0.0,1.0,Link,21 November
"Jeddah Corniche Circuit, Jeddah",,2021,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Jeddah Corniche Circuit, Jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,0.0,2.0,Link,5 December[j]
"Yas Marina Circuit, Abu Dhabi",,2021,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Yas Marina Circuit, Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0.0,14.0,Link,12 December[k]
